source,sheet,ID,المجال,المهارة,وصف المعيار,Assessment Question,Expected Development,Importance,Reference,معرف النشاط,اسم النشاط,العمر,المهارة المستهدفة,الهدف,وصف النشاط,الأدوات,المدة,التكرار,مستوى الصعوبة,تعليمات لولي الأمر,النتيجة المتوقعة,المرجع,معرف القاعدة,شرط التقييم,مستوى الشدة,توصية الذكاء الاصطناعي,الأنشطة المقترحة,المتابعة,الإحالة إلى أخصائي,الحقل,القيمة / الوصف,اليوم,رقم النشاط,تم التنفيذ,رقم القالب,الحالة,النص,معرف السؤال,السؤال,نوع الإجابة,الدرجة (نعم),الدرجة (لا),مرتبط بالمعيار,مرتبط بقاعدة القرار,ملاحظات
KB01.xlsx,Age 2,EL013,اللغة التعبيرية,وصف الصور,يسمي عناصر في الصور.,هل يصف أو يسمي ما في الصورة؟,يسمي عناصر مألوفة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL014,اللغة التعبيرية,التحدث أثناء اللعب,يستخدم اللغة أثناء اللعب.,هل يتحدث أثناء اللعب؟,يتواصل خلال اللعب.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL015,اللغة التعبيرية,استخدام الضمائر الأولية,يبدأ باستخدام أنا.,هل يستخدم كلمة أنا؟,يبدأ باستخدام الضمائر.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL016,اللغة التعبيرية,تسمية الحيوانات,يسمي بعض الحيوانات.,هل يسمي الحيوانات المألوفة؟,يسمي حيوانات شائعة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL017,اللغة التعبيرية,تسمية الألعاب,يسمي ألعابه.,هل يسمي ألعابه؟,يعرف أسماء الألعاب.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL018,اللغة التعبيرية,استخدام كلمات جديدة,يضيف كلمات جديدة باستمرار.,هل يستخدم كلمات جديدة؟,يزداد التنوع اللغوي.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL019,اللغة التعبيرية,التعبير عن المشاعر,يعبر بكلمات بسيطة عن الفرح أو الحزن.,هل يعبر عن مشاعره بكلمات؟,يستخدم كلمات بسيطة للمشاعر.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL020,اللغة التعبيرية,بدء التواصل اللفظي,يبادر بالكلام مع أحد الوالدين.,هل يبدأ الحديث من تلقاء نفسه؟,يبادر بالتواصل أحيانًا.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS001,التواصل والمهارات الاجتماعية,التواصل البصري,يحافظ على التواصل البصري أثناء التفاعل.,هل ينظر إلى الشخص أثناء التحدث؟,يحافظ على تواصل بصري مناسب.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS002,التواصل والمهارات الاجتماعية,بدء التواصل,يبادر بالتواصل مع أحد أفراد الأسرة.,هل يبدأ التفاعل من تلقاء نفسه؟,يبادر أحيانًا.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS003,التواصل والمهارات الاجتماعية,طلب المساعدة,يطلب المساعدة عند الحاجة.,هل يطلب المساعدة؟,يستخدم كلمات أو إشارات مناسبة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS004,التواصل والمهارات الاجتماعية,التفاعل أثناء اللعب,يتفاعل مع الآخرين أثناء اللعب.,هل يشارك في اللعب؟,يشارك لفترات قصيرة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS005,التواصل والمهارات الاجتماعية,تقليد الآخرين,يقلد الحركات والكلمات.,هل يقلد الآخرين؟,يقلد السلوكيات البسيطة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS006,التواصل والمهارات الاجتماعية,التعبير عن المشاعر,يعبر عن الفرح أو الحزن.,هل يعبر عن مشاعره؟,يبدي مشاعره بوضوح.,مهم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS007,التواصل والمهارات الاجتماعية,الاستجابة للتحية,يرد على التحية.,هل يرد عند قول مرحبًا؟,يستجيب للتحية.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS008,التواصل والمهارات الاجتماعية,تبادل الأدوار,ينتظر دوره في الألعاب البسيطة.,هل ينتظر دوره؟,يتبادل الأدوار.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS009,التواصل والمهارات الاجتماعية,المشاركة,يشارك الألعاب مع الآخرين.,هل يشارك ألعابه؟,يبدي مشاركة بسيطة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS010,التواصل والمهارات الاجتماعية,لفت الانتباه,يحاول جذب انتباه الآخرين.,هل يحاول جذب انتباهك؟,يستخدم كلمات أو إشارات.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS011,التواصل والمهارات الاجتماعية,استخدام الإيماءات,يستخدم الإشارة مع الكلام.,هل يستخدم الإشارة أثناء الكلام؟,يجمع بين الإشارة والكلام.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS012,التواصل والمهارات الاجتماعية,الاستجابة للحديث,يرد عند التحدث إليه.,هل يستجيب عند مخاطبته؟,يرد بصورة مناسبة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS013,التواصل والمهارات الاجتماعية,اللعب التخيلي البسيط,يبدأ اللعب التخيلي.,هل يمثل مواقف بسيطة؟,يشارك في لعب تخيلي.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS014,التواصل والمهارات الاجتماعية,التفاعل مع الأطفال,يتفاعل مع أطفال آخرين.,هل يتفاعل مع الأطفال؟,يبدي اهتمامًا باللعب.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS015,التواصل والمهارات الاجتماعية,التواصل مع الوالدين,يتحدث ويتفاعل مع الوالدين.,هل يتواصل مع الوالدين باستمرار؟,يتفاعل يوميًا.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS016,التواصل والمهارات الاجتماعية,الاستجابة للابتسامة,يبتسم استجابةً للآخرين.,هل يبتسم عند التفاعل؟,يستجيب اجتماعيًا.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS017,التواصل والمهارات الاجتماعية,التعبير عن الاحتياجات,يعبر عن احتياجاته بوضوح.,هل يخبرك بما يريد؟,يعبر بطرق مناسبة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS018,التواصل والمهارات الاجتماعية,الاستمتاع بالأغاني,يشارك في الأغاني والحركات.,هل يشارك في الأغاني؟,يتفاعل مع الأغاني.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS019,التواصل والمهارات الاجتماعية,فهم قواعد اللعب,يتبع قواعد بسيطة أثناء اللعب.,هل يتبع قواعد بسيطة؟,يلتزم بالتوجيهات.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,CS020,التواصل والمهارات الاجتماعية,الاستمتاع بالأنشطة الجماعية,يشارك في أنشطة جماعية قصيرة.,هل يستمتع بالأنشطة الجماعية؟,يشارك مع الآخرين.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP001,النطق,نطق الأصوات المبكرة,ينطق أصواتًا مبكرة مثل م، ب، ت.,هل ينطق أصواتًا مثل م أو ب أو ت بوضوح؟,ينتج معظم الأصوات المبكرة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP002,النطق,وضوح الكلمات المألوفة,ينطق الكلمات اليومية بوضوح نسبي.,هل تفهم معظم كلماته المألوفة؟,يمكن فهم جزء كبير من كلامه.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP003,النطق,تقليد الأصوات,يقلد أصوات الحيوانات والأشياء.,هل يقلد الأصوات التي يسمعها؟,يقلد أصواتًا متنوعة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP004,النطق,تقليد الكلمات,يعيد كلمات بسيطة بعد سماعها.,هل يكرر الكلمات بعدك؟,يكرر كلمات مألوفة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP005,النطق,استخدام نبرة مناسبة,يغير نبرة صوته للتعبير.,هل يغير نبرة صوته أثناء الكلام؟,يستخدم نبرات بسيطة.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP006,النطق,تقليل حذف الأصوات,ينطق الكلمة دون حذف معظم الأصوات.,هل يحذف أصواتًا كثيرة من الكلمات؟,يقل الحذف تدريجيًا.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP007,النطق,عدد المقاطع,ينطق كلمات من مقطعين.,هل ينطق كلمات مثل ماما أو سيارة؟,ينطق كلمات متعددة المقاطع.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP008,النطق,التحكم بسرعة الكلام,يتحدث بسرعة مناسبة.,هل كلامه سريع جدًا أو بطيء جدًا؟,سرعة مناسبة لعمره.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP009,النطق,استخدام الصوت للتواصل,يستخدم صوته لجذب الانتباه والتواصل.,هل يستخدم صوته للتواصل؟,يعتمد على الكلام أكثر من الإشارة.,أساسي,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP010,النطق,وضوح الجمل القصيرة,يمكن فهم العبارات القصيرة.,هل يمكن فهم عباراته القصيرة؟,معظمها مفهوم.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP011,النطق,تقليد الإيقاع,يقلد إيقاع الأغاني والكلمات.,هل يشارك في الأغاني؟,يقلد الإيقاع.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP012,النطق,الاستجابة للتصحيح,يحاول إعادة الكلمة عند تصحيحها.,هل يحاول إعادة نطق الكلمة؟,يحاول تحسين النطق.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP013,النطق,التمييز بين الأصوات,يميز اختلاف بعض الأصوات.,هل يلاحظ اختلاف الأصوات البسيطة؟,يبدأ التمييز السمعي.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP014,النطق,استخدام كلمات مفهومة,ينطق كلمات يمكن للوالدين فهمها.,هل يفهم أفراد الأسرة معظم كلامه؟,معظم الكلمات مفهومة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,SP015,النطق,المشاركة اللفظية اليومية,يستخدم الكلام يوميًا في مواقف مختلفة.,هل يستخدم الكلام يوميًا للتواصل؟,يتواصل لفظيًا بشكل متكرر.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,References,,,,Communication Milestones,,,,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,References,,,,Developmental Milestones,,,,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,References,,,,Speech and Language Development,,,,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL001,اللغة الاستقبالية,تنفيذ تعليمات من خطوتين,ينفذ تعليمات تتكون من خطوتين متتاليتين.,هل يستطيع تنفيذ أمرين متتاليين؟,ينفذ التعليمات دون مساعدة.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL002,اللغة الاستقبالية,فهم أسئلة من وماذا وأين,يفهم الأسئلة البسيطة ويستجيب لها.,هل يفهم أسئلة مثل من؟ ماذا؟ أين؟,يستجيب بشكل صحيح في أغلب الأحيان.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL003,اللغة الاستقبالية,فهم مفاهيم المكان,يفهم كلمات مثل فوق، تحت، داخل، خارج.,هل يفهم مفاهيم المكان؟,يستخدمها في المواقف اليومية.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL004,اللغة الاستقبالية,فهم مفاهيم الحجم,يميز بين كبير وصغير.,هل يميز بين كبير وصغير؟,يفهم المفهومين.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL005,اللغة الاستقبالية,متابعة قصة قصيرة,يفهم أحداث قصة قصيرة.,هل يستطيع متابعة قصة قصيرة؟,يفهم الفكرة العامة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL006,اللغة الاستقبالية,تمييز الألوان الأساسية,يتعرف على الألوان الأساسية.,هل يشير إلى اللون المطلوب؟,يميز عدة ألوان.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL007,اللغة الاستقبالية,تصنيف الأشياء,يصنف الأشياء حسب الفئة.,هل يجمع الأشياء المتشابهة؟,يصنف بطريقة صحيحة.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL008,اللغة الاستقبالية,فهم استخدام الأشياء,يعرف استخدام الأدوات اليومية.,هل يعرف استخدام الملعقة أو الفرشاة؟,يفهم وظيفة الأشياء.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL009,اللغة الاستقبالية,فهم الضمائر البسيطة,يفهم أنا وأنت.,هل يفهم الضمائر البسيطة؟,يفرق بينها.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL010,اللغة الاستقبالية,الانتباه للمحادثة,يحافظ على الانتباه أثناء الحديث.,هل ينتبه عند التحدث معه؟,ينتبه لفترة مناسبة.,أساسي,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL011,اللغة الاستقبالية,فهم التسلسل البسيط,يفهم ترتيب حدثين متتاليين.,هل يفهم ما يحدث أولًا ثم ثانيًا؟,يفهم التسلسل البسيط.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL012,اللغة الاستقبالية,فهم الأسئلة لماذا,يبدأ بفهم سؤال لماذا في المواقف البسيطة.,هل يفهم سؤال لماذا؟,يفهم الأسباب البسيطة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL013,اللغة الاستقبالية,فهم أسماء المهن,يتعرف على بعض المهن الشائعة.,هل يعرف الطبيب أو المعلم؟,يتعرف على المهن المألوفة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL014,اللغة الاستقبالية,فهم العلاقات,يفهم مفاهيم مثل قبل وبعد.,هل يفهم قبل وبعد؟,يبدأ بفهمها.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 3,RL015,اللغة الاستقبالية,فهم الأفعال اليومية,يفهم معاني الأفعال الشائعة.,هل يفهم كلمات مثل يجري أو ينام؟,يفهم الأفعال اليومية.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
